,post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
40,159157185627239,"DAILYMAIL.CO.UK
Swedes are flocking to streets and continuing their lives as normal despite threat of coronavirus",,"DAILYMAIL.CO.UK
Swedes are flocking to streets and continuing their lives as normal despite threat of coronavirus",2020-04-02 09:26:16,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQACPH86IP1k3wpr&w=476&h=249&url=https%3A%2F%2Fi.dailymail.co.uk%2F1s%2F2020%2F04%2F01%2F22%2F26694888-0-image-a-44_1585776690277.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQDosGv9A9M3A83h,1,0,0,https://m.facebook.com/story.php?story_fbid=159157185627239&id=103661247843500,https://trib.al/kcCdLgw
41,158532515689706,"DAILYMAIL.CO.UK
Researchers claim they might have found a mutated coronavirus sub-type",,"DAILYMAIL.CO.UK
Researchers claim they might have found a mutated coronavirus sub-type",2020-04-01 19:52:37,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQDXyBhZkRmqTklp&w=476&h=249&url=https%3A%2F%2Fs3.amazonaws.com%2Fprod-cust-photo-posts-jfaikqealaka%2F2836-0cd4da55911dc5f996084ff7b830acd3.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQAiDZAzywQ4MeZn,1,0,0,https://m.facebook.com/story.php?story_fbid=158532515689706&id=103661247843500,https://trib.al/6fjLmG5
42,158532482356376,"RT
April 2 at 6:30 AM ·
COVID-19 rips into America's 'weak debt-dependent' economy",,"RT
April 2 at 6:30 AM ·
COVID-19 rips into America's 'weak debt-dependent' economy",2020-04-01 19:52:27,,0,0,0,https://m.facebook.com/story.php?story_fbid=158532482356376&id=103661247843500,
43,158532439023047,"Daily Mail
April 2 at 4:20 AM ·
These Ukrainian passengers break out of the airport to avoid isolation! 😱via ViralHog",,"Daily Mail
April 2 at 4:20 AM ·
These Ukrainian passengers break out of the airport to avoid isolation! 😱via ViralHog",2020-04-01 19:52:15,,0,0,0,https://m.facebook.com/story.php?story_fbid=158532439023047&id=103661247843500,
44,158532365689721,"World Economic Forum
April 1 at 10:57 PM ·
The explanation behind the controversial approach.
📕 Read more: https://bit.ly/2wKcwy5",,"World Economic Forum
April 1 at 10:57 PM ·
The explanation behind the controversial approach.
📕 Read more: https://bit.ly/2wKcwy5",2020-04-01 19:51:41,,0,0,0,https://m.facebook.com/story.php?story_fbid=158532365689721&id=103661247843500,https://bit.ly/2wKcwy5
45,158532272356397,"RT
April 2 at 4:00 AM ·
Russian aid + Trump + Russiagaters = 🤯
Not even when Moscow sends a planeload of much-needed medical supplies to the US in the midst of a global crisis, can Russiagaters give their paranoia a rest for the day. Donald Trump said thank you to Vladimir Putin, causing the usual suspects to cry propaganda, meddling or whatever they’re crying this week, but tell that to those suffering from Covid-19 that need all the help they can get.",,"RT
April 2 at 4:00 AM ·
Russian aid + Trump + Russiagaters = 🤯
Not even when Moscow sends a planeload of much-needed medical supplies to the US in the midst of a global crisis, can Russiagaters give their paranoia a rest for the day. Donald Trump said thank you to Vladimir Putin, causing the usual suspects to cry propaganda, meddling or whatever they’re crying this week, but tell that to those suffering from Covid-19 that need all the help they can get.",2020-04-01 19:51:09,,1,0,0,https://m.facebook.com/story.php?story_fbid=158532272356397&id=103661247843500,
46,158532195689738,"World Economic Forum
April 2 at 3:00 AM ·
This is why regular cleaning is so important.
📕 Read more: https://bit.ly/2yiN0QO",,"World Economic Forum
April 2 at 3:00 AM ·
This is why regular cleaning is so important.
📕 Read more: https://bit.ly/2yiN0QO",2020-04-01 19:50:27,,0,0,0,https://m.facebook.com/story.php?story_fbid=158532195689738&id=103661247843500,https://bit.ly/2yiN0QO
47,158532022356422,"DAILYMAIL.CO.UK
Six percent of coronavirus patients with underlying conditions die, new data shows",,"DAILYMAIL.CO.UK
Six percent of coronavirus patients with underlying conditions die, new data shows",2020-04-01 19:49:15,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQBPPLr0m8X6QQYD&w=476&h=249&url=https%3A%2F%2Fi.dailymail.co.uk%2F1s%2F2020%2F04%2F01%2F23%2F26698588-0-image-a-106_1585779198373.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQC7KhPI5k-VUHkG,0,0,0,https://m.facebook.com/story.php?story_fbid=158532022356422&id=103661247843500,https://trib.al/ulZT8iQ
48,158529219023369,"ALJAZEERA.COM
'Shoot them dead': Duterte warns against violating lockdown",,"ALJAZEERA.COM
'Shoot them dead': Duterte warns against violating lockdown",2020-04-01 19:34:29,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQCQB7PIVtwagOHo&w=476&h=249&url=https%3A%2F%2Fwww.aljazeera.com%2Fmritems%2FImages%2F2020%2F4%2F1%2Fc51584242f244c0fa20b992f0b8f0575_18.jpg&cfs=1&jq=75&sx=0&sy=13&sw=1000&sh=523&ext=jpg&_nc_hash=AQAeRiEvmM-YAnhl,0,0,0,https://m.facebook.com/story.php?story_fbid=158529219023369&id=103661247843500,https://www.aljazeera.com/news/2020/04/dead-duterte-warns-violating-lockdown-200401164531160.html?utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=facebook
49,158276305715327,"WEFORUM.ORG
South Korea's foreign minister explains how the country contained COVID-19",,"WEFORUM.ORG
South Korea's foreign minister explains how the country contained COVID-19",2020-04-01 04:48:43,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQAu_JNNkvG9l18P&w=476&h=249&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5e842defc2ac5728fc5a7db8%2F568fe8f5108b9d5e6000007a377029fd7f93e5cd_6ee1ee1f67bd060b1977f62ebc8a08df0600da80_facebook&cfs=1&jq=75&ext=jpg&_nc_hash=AQBDZd3lKdkenU2U,0,0,0,https://m.facebook.com/story.php?story_fbid=158276305715327&id=103661247843500,https://bit.ly/33YcdvQ
50,158276162382008,"RT
April 1 at 12:00 AM ·
Situation not bad enough yet? | Trump says nationwide quarantine is ‘unlikely’",,"RT
April 1 at 12:00 AM ·
Situation not bad enough yet? | Trump says nationwide quarantine is ‘unlikely’",2020-04-01 04:48:33,,0,0,0,https://m.facebook.com/story.php?story_fbid=158276162382008&id=103661247843500,
